amfi_code,scheme_name,return_3yr_pct,sharpe_ratio,alpha,max_drawdown_pct,expense_ratio_pct,return_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,fund_score
119599,SBI Small Cap Fund - Direct Plan - Growth,23.14,0.93,1.13,-24.78,0.72,2.0,19.5,22.5,5.5,11.0,11.899999999999999
120843,Kotak Flexicap Fund - Regular - Growth,15.65,0.98,1.85,-19.5,1.45,11.0,12.0,3.5,22.0,21.0,12.4
120842,Kotak Emerging Equity Fund - Regular - Growth,18.23,0.96,1.91,-21.92,1.56,7.0,15.0,2.0,33.0,16.0,12.799999999999999
101207,ABSL Small Cap Fund - Regular - Growth,22.38,0.9,1.84,-23.61,1.53,3.0,24.5,5.0,28.5,14.0,13.700000000000001
119598,SBI Small Cap Fund - Regular Plan - Growth,23.39,0.94,1.23,-13.35,1.43,1.0,18.0,20.0,21.0,33.0,15.250000000000002
148567,Mirae Asset Large Cap Fund - Regular - Growth,14.81,1.06,1.62,-17.07,1.46,17.0,7.5,12.0,23.0,26.0,15.424999999999999
100025,HDFC Short Term Debt Fund - Regular - Growth,7.37,1.84,1.98,-6.01,0.56,36.0,4.0,1.0,2.0,35.0,15.799999999999999
120507,ICICI Pru Liquid Fund - Regular - Growth,7.68,7.68,1.85,-2.62,0.74,35.0,1.0,3.5,7.0,38.0,16.3
120505,ICICI Pru Midcap Fund - Regular - Growth,18.08,0.95,0.89,-21.84,1.36,8.0,17.0,29.5,15.0,18.0,16.6
120504,ICICI Pru Bluechip Fund - Direct - Growth,14.41,1.03,0.88,-26.59,0.8,20.0,9.0,31.0,12.0,9.0,17.15
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,14.56,0.91,1.7,-33.15,1.52,19.0,22.5,10.5,26.5,2.0,17.599999999999998
125497,HDFC Top 100 Fund - Direct Plan - Growth,13.38,0.96,1.13,-33.5,0.92,24.0,15.0,22.5,14.0,1.0,17.650000000000002
120844,Kotak Liquid Fund - Regular - Growth,6.18,6.18,1.52,-3.81,0.6,37.0,2.0,14.0,3.0,36.0,18.45
102887,UTI Flexi Cap Fund - Regular - Growth,15.34,0.96,1.79,-12.14,1.64,13.0,15.0,8.0,39.5,34.0,18.575000000000003
118635,Nippon India ETF Nifty 50 BeES,11.77,0.91,1.8,-26.75,0.89,32.0,22.5,7.0,13.0,8.0,19.375
118633,Nippon India Large Cap Fund - Direct - Growth,12.33,0.88,1.7,-18.14,0.72,27.0,26.5,10.5,5.5,22.0,19.849999999999998
119094,Axis Midcap Fund - Regular - Growth,15.18,0.8,1.42,-32.38,1.38,15.0,38.5,16.0,17.0,3.0,20.175
149323,DSP Midcap Fund - Regular - Growth,17.16,0.9,1.02,-26.99,1.61,9.0,24.5,25.0,38.0,7.0,20.224999999999998
149322,DSP Top 100 Equity Fund - Regular - Growth,12.82,0.92,1.82,-21.7,1.54,25.0,21.0,6.0,30.5,19.5,20.474999999999998
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,6.07,1.52,1.6,-2.3,0.77,38.0,5.0,13.0,9.0,39.0,20.5
120506,ICICI Pru Value Discovery Fund - Regular - Growth,14.76,0.98,0.55,-21.89,1.41,18.0,12.0,38.0,19.0,17.0,20.55
100016,HDFC Top 100 Fund - Regular Plan - Growth,14.84,1.06,0.78,-17.41,1.55,16.0,7.5,35.0,32.0,24.0,20.875
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,16.58,0.87,0.95,-13.67,1.38,10.0,29.0,26.0,17.0,31.0,21.1
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,15.29,0.8,0.9,-32.22,0.78,14.0,38.5,28.0,10.0,4.0,21.325
101206,ABSL Frontline Equity Fund - Regular - Growth,13.78,0.98,1.34,-15.07,1.6,22.0,12.0,18.0,36.5,29.0,21.574999999999996
118632,Nippon India Large Cap Fund - Regular - Growth,14.0,1.0,0.86,-16.07,1.51,21.0,10.0,33.0,24.5,28.0,21.875000000000004
118634,Nippon India Small Cap Fund - Regular - Growth,20.15,0.81,0.8,-30.87,1.53,5.0,35.5,34.0,28.5,5.0,21.95
101208,ABSL Liquid Fund - Regular - Growth,5.14,5.14,1.18,-3.66,0.79,40.0,3.0,21.0,11.0,37.0,22.299999999999997
119093,Axis Bluechip Fund - Direct - Growth,12.14,0.87,1.43,-17.4,0.75,29.0,29.0,15.0,8.0,25.0,22.65
119552,SBI Bluechip Fund - Direct Plan - Growth,11.3,0.81,1.78,-24.43,0.66,34.0,35.5,9.0,4.0,12.0,22.675
119095,Axis Small Cap Fund - Regular - Growth,20.98,0.84,0.51,-14.45,1.38,4.0,32.0,40.0,17.0,30.0,22.75
118636,Nippon India Gilt Securities Fund - Regular - Growth,5.31,1.33,0.89,-2.23,0.55,39.0,6.0,29.5,1.0,40.0,23.25
102886,UTI Mid Cap Fund - Regular - Growth,15.61,0.82,1.12,-13.43,1.51,12.0,33.5,24.0,24.5,32.0,23.65
149324,DSP Small Cap Fund - Regular - Growth,20.08,0.8,0.69,-17.01,1.52,6.0,38.5,36.0,26.5,27.0,25.3
102885,UTI Nifty 50 Index Fund - Regular - Growth,12.1,0.93,0.93,-24.42,1.57,30.0,19.5,27.0,34.0,13.0,25.675
119092,Axis Bluechip Fund - Regular - Growth,11.84,0.85,1.41,-27.54,1.64,31.0,31.0,17.0,39.5,6.0,26.974999999999998
120841,Kotak Bluechip Fund - Regular - Growth,12.25,0.87,1.27,-17.86,1.59,28.0,29.0,19.0,35.0,23.0,27.0
119551,SBI Bluechip Fund - Regular Plan - Growth,12.36,0.88,0.87,-21.7,1.54,26.0,26.5,32.0,30.5,19.5,27.35
120503,ICICI Pru Bluechip Fund - Regular - Growth,11.54,0.82,0.66,-25.91,1.42,33.0,33.5,37.0,20.0,10.0,29.674999999999997
148569,Mirae Asset Tax Saver Fund - Regular - Growth,13.58,0.8,0.54,-22.62,1.6,23.0,38.5,39.0,36.5,15.0,31.299999999999997
